permit_number,issued_date,site_address,sub_type,work_type,contractor,description,valuation
MI293465,2025-06-12,17711 Breconwood Rd,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,9415
MI292743,2025-06-11,14600 Minnetonka Blvd,Commercial/Ind,Remodel/Alteration,CONSTRUCTION RESULTS CORP,Update and Relocate the Legal Office,74721
MI290232,2025-06-11,2427 Bantas Point La,Single Family,Addition,PILLAR HOMES,replacE 4 windows 3 sliding doors and adding a screen porch and deck addition,174907
MI293391,2025-06-11,5917 Co Rd No 101,Single Family,Maintenance/Repair,Minnesota Roofing & Remodeling,"Re-roof for units 5915, 5913, 5911, along with detached garage.",7000
MI293395,2025-06-11,10201 Minnetonka Blvd,Single Family,Maintenance/Repair,Gabiou Companies Inc,Tear off house and garage w/redeck,10000
MI293404,2025-06-11,14908 Glen Oak St,Single Family,Maintenance/Repair,Winslow Companies,Reside the home,4900
MI293411,2025-06-11,13451 Mcginty Rd E,Single Family,Maintenance/Repair,Hoffman Weber Construction,Replace 1 window with an existing opening,1800
MI293423,2025-06-11,15447 Sussex Dr,Single Family,Maintenance/Repair,Crew 2 Inc,1 back Patio door replacement - no alterations to existing opening,2098
MI293399,2025-06-11,17650 Breconwood Rd,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,7915
MI293400,2025-06-11,17620 Breconwood Rd,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,9415
MI293402,2025-06-11,17630 Breconwood Rd,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,8665
MI292503,2025-06-10,601 Carlson Pkwy,Commercial/Ind,Remodel/Alteration,FENDLER PATTERSON CONSTRUCTION,"Carlson Parkway 7th Floor Elevator & Restroom 120,000 Remodel",601
MI292565,2025-06-10,1000 Parkers Lake Rd,Commercial/Ind,Remodel/Alteration,G 5 CONSTRUCTION,Additional offices added to an existing office space,95000
MI293346,2025-06-10,3731 Park Valley Rd,Single Family,Maintenance/Repair,Nexgen Exteriors Llc,Re-roof the house and attached garage using GAF HDZ shingles,7875
MI293347,2025-06-10,15805 Highwood Dr,Single Family,Maintenance/Repair,Miller Roofs Llc,ReRoof,9000
MI293354,2025-06-10,2300 Meeting Pl,Single Family,Maintenance/Repair,Archer Exteriors Llc,Re-roof house,38000
MI293362,2025-06-10,5901 Covington Ct,Single Family,Maintenance/Repair,Minnesota Exteriors Inc,Remove and replace 20 windows in existing openings,49944
MI290370,2025-06-10,12811 Sherwood Pl 3,Single Family,Remodel/Alteration,LEAF HOME ENCHANCEMENTS LLC,Tub to shower conversion including mixing valve,15460
MI292654,2025-06-10,3509 Therese St,Single Family,Remodel/Alteration,MOONSTONE DESIGN & BUILD LLC,Kitchen & bath remodel,12000
MI293234,2025-06-10,11860 Tapestry La,Single Family,Remodel/Alteration,OCEL BUILDERS INC,Remove shower and install roll in shower. insulate exterior wall,2500
MI293238,2025-06-10,1416 Ford Rd,Single Family,Remodel/Alteration,BRELAND ENTERPRISES INC,"Drain tile, sump pump, vapor barrier, foamax, wall demo, wall excavate, silverglo, and sentryseal.",11404
MI292482,2025-06-09,17000 Lake St Extension,Commercial/Ind,Addition,Three Rivers Contracting Llc,Install Fence around Solar Panels,9500
MI292635,2025-06-09,12800 Whitewater Dr 350,Commercial/Ind,Tenant Finish,WESTIN CONSTRUCTION,"Tenant Vacancy Prep Spec Suite 130,112",350
MI293308,2025-06-09,11908 James Rd,Single Family,Maintenance/Repair,Wright At Home Services Inc,residing,18000
MI293311,2025-06-09,15050 Crestview La,Single Family,Maintenance/Repair,Eroof Llc,"Tear off, inspect decking, install new ice & water/ flashings and shingles",20685
MI293325,2025-06-09,5029 Prescott Dr,Single Family,Maintenance/Repair,Window Concepts Of Mn Inc,"Replacing 2 existing windows and 1 patio door6,475",
MI291227,2025-06-09,4820 Sparrow Rd,Single Family,New,ZEHNDER HOMES INC,"Single Family Home, 2-Story, Finished Basement",825000
MI292870,2025-06-09,2414 Cedarwood Ridge,Single Family,Remodel/Alteration,TRINITY CONSTRUCTION SERVICES LLC,Master Bedroom & Bathroom / New Mudroom & Laundry,139000
MI293186,2025-06-09,15320 Crown Dr,Single Family,Remodel/Alteration,EGRESS WINDOW GUY,Egress Windows & Well Installation,6805
MI293286,2025-06-09,5229 Silver Maple Cir,Townhouse Units,Maintenance/Repair,Hoyt Construction,Tear off and reside with Lp smartside,5000
MI293287,2025-06-09,5231 Silver Maple Cir,Townhouse Units,Maintenance/Repair,Hoyt Construction,Tear off and reside,5000
MI293288,2025-06-09,5233 Silver Maple Cir,Townhouse Units,Maintenance/Repair,Hoyt Construction,Tear off and reside,5000
MI293289,2025-06-09,5235 Silver Maple Cir,Townhouse Units,Maintenance/Repair,Hoyt Construction,Tear off and reside,5000
MI293290,2025-06-09,5237 Silver Maple Cir,Townhouse Units,Maintenance/Repair,Hoyt Construction,Tear off and reside,5000
MI293291,2025-06-09,5239 Silver Maple Cir,Townhouse Units,Maintenance/Repair,Hoyt Construction,Tear off and reroof,5000
MI293320,2025-06-09,5345 Beachside Dr,Townhouse Units,Maintenance/Repair,Krech Exteriors Llc,,8000
MI293321,2025-06-09,5347 Beachside Dr,Townhouse Units,Maintenance/Repair,Krech Exteriors Llc,,8000
MI293322,2025-06-09,5349 Beachside Dr,Townhouse Units,Maintenance/Repair,Krech Exteriors Llc,,8000
MI293323,2025-06-09,5351 Beachside Dr,Townhouse Units,Maintenance/Repair,Krech Exteriors Llc,,8000
MI293330,2025-06-09,5326 Beachside Dr,Townhouse Units,Maintenance/Repair,Krech Exteriors Llc,,8000
MI293331,2025-06-09,5328 Beachside Dr,Townhouse Units,Maintenance/Repair,Krech Exteriors Llc,,8000
MI293332,2025-06-09,5330 Beachside Dr,Townhouse Units,Maintenance/Repair,Krech Exteriors Llc,,8000
MI293333,2025-06-09,5332 Beachside Dr,Townhouse Units,Maintenance/Repair,Krech Exteriors Llc,,8000
MI293334,2025-06-09,5223 Beachside Dr,Townhouse Units,Maintenance/Repair,KRECH EXTERIORS LLC,,8000
MI293335,2025-06-09,5221 Beachside Dr,Townhouse Units,Maintenance/Repair,KRECH EXTERIORS LLC,,8000
MI293336,2025-06-09,5219 Beachside Dr,Townhouse Units,Maintenance/Repair,KRECH EXTERIORS LLC,,8000
MI293337,2025-06-09,5217 Beachside Dr,Townhouse Units,Maintenance/Repair,KRECH EXTERIORS LLC,,8000
MI293248,2025-06-06,3801 Huntingdon Dr,Single Family,Maintenance/Repair,Roof Company N A Inc,REROOF,35000
MI293249,2025-06-06,2254 Sherwood Ct,Single Family,Maintenance/Repair,Sandstrom Enterprises Llc,"13 Windows, Existing Opening",81918
MI293251,2025-06-06,2848 Oak Lea Dr,Single Family,Maintenance/Repair,Sela Roofing & Remodel Inc Dba Sela Gutter Connect,skylight on roof like for like,200
MI293253,2025-06-06,14304 Bellevue Dr,Single Family,Maintenance/Repair,Crew 2 Inc,1 patio door and 1 exterior door replacement- like for like - garage service door and back patio,3216
MI293254,2025-06-06,16601 Meadowbrook La,Single Family,Maintenance/Repair,Roof Company N A Inc,REROOF,8000
MI293262,2025-06-06,2824 Mayfield Rd,Single Family,Maintenance/Repair,Midwest Exteriors Mn,"remove cedar shingles, install new ice and water, felt and GAF asphalt shingles",30000
MI293266,2025-06-06,14821 Crestview La,Single Family,Maintenance/Repair,Renewal By Andersen Llc,"Replace 4 windows within existing openings.21,867",
MI283984,2025-06-06,14411 Mcginty Rd W,Single Family,New,Brandon Johnson,Rebuilding new house after fire damage to current house last summer,1007000
MI292306,2025-06-05,11033 Hillside La W,Commercial/Ind,Remodel/Alteration,AXIS BUILDERS & REMODELERS LLC,Finish Kitchen and Mikvah areas not completed,247811
MI291241,2025-06-05,10531 Cedar Lake Rd 509,Multi Family Apts/Condos,Maintenance/Repair,Boris Tikh,1 Bedroom window replacement using same opening,700
MI292991,2025-06-05,12848 Muriel Rd,Single Family,Maintenance/Repair,David E Frisk,Replace 6 exiting windows and 3 windows in new openings. Reside house.,20000
MI293206,2025-06-05,5927 Co Rd No 101,Single Family,Maintenance/Repair,Minnesota Roofing & Remodeling,"Re-roof for units 5925, 5923, 5921, along with detached garage.",7000
MI293214,2025-06-05,12919 Pioneer Rd,Single Family,Maintenance/Repair,Bison Builders Inc,Re Roofing House and Attached Garage,10000
MI293215,2025-06-05,12919 Pioneer Rd,Single Family,Maintenance/Repair,Bison Builders Inc,Re Siding House and Attached Garage,8000
MI287322,2025-06-04,5701 Co Rd No 101,Commercial/Ind,Maintenance/Repair,CM CONSTRUCTION CO,"Replace exterior wall finishes, exterior windows, cabinets, and UVs. Modify site drainage.",1107400
MI287425,2025-06-04,17310 Minnetonka Blvd,Commercial/Ind,Maintenance/Repair,CM CONSTRUCTION CO,Window ONLY HVAC replacement separate permit,272609
MI287391,2025-06-04,5650 Scenic Heights Dr,Commercial/Ind,Remodel/Alteration,CM CONSTRUCTION CO,Cabinet and HVAC replacement. Room division.,537500
MI293166,2025-06-04,5887 Co Rd No 101,Single Family,Maintenance/Repair,Minnesota Roofing & Remodeling,"Re-roof for units 5885, 5883, 5881, along with detached garage.",7000
MI293170,2025-06-04,4501 Eastwood Rd,Single Family,Maintenance/Repair,True Blue Construction Services Llc,"Replace roof on house, garage and sheds.",25000
MI293201,2025-06-04,11318 Timberline Rd,Single Family,Maintenance/Repair,Renewal By Andersen Llc,Replace 4 windows and 2 patio doors within existing openings.,21323
MI290872,2025-06-04,18139 Ridgewood Alcove,Single Family,New,RON CLARK CONSTRUCTION LLC,New detached villa home,850000
MI292355,2025-06-04,3830 Cottage La,Single Family,Remodel/Alteration,GREAT LAKES WINDOW & SIDING CO,2 Bathroom Remodels,15000
MI293130,2025-06-03,1807 Timberline Tr,Single Family,Maintenance/Repair,Pella Northland,Replacing 1 window- no changes to rough opening,2582
MI293133,2025-06-03,5371 Beachside Dr,Single Family,Maintenance/Repair,Renewal By Andersen Llc,Replace 4 windows and 1 patio door within existing openings.,20318
MI293134,2025-06-03,3334 Chase Dr,Single Family,Maintenance/Repair,Renewal By Andersen Llc,"Replace 7 windows within existing openings.34,184",
MI293135,2025-06-03,3827 Tonkawood Rd,Single Family,Maintenance/Repair,Renewal By Andersen Llc,"Replace 9 windows within existing openings.34,486",
MI293136,2025-06-03,14505 Mcginty Rd W,Single Family,Maintenance/Repair,Minnesota Exteriors Inc,Remove and replace asphalt shingles on house/attached garage,25000
MI293150,2025-06-03,18804 Kingswood Ter,Single Family,Maintenance/Repair,Hudson Enterprises Inc,Remove and replace flat roof on main section of house,20000
MI293155,2025-06-03,3311 Fairchild Ave,Single Family,Maintenance/Repair,Mason Construction Services Llc,REPLACE 2 EXISTING HOPPER WINDOWS SAME SIZE,1000
MI290479,2025-06-03,4858 Merilee Dr,Single Family,Remodel/Alteration,ROSEBUD CONSTRUCTION LIMITED LIABILITY,Replace COMPANY 2 smaller wood decks with large composite deck,24700
MI292969,2025-06-03,5524 Conifer Tr,Single Family,Remodel/Alteration,ESLER CONSTRUCTION LLC,Removing old deck and building new deck on back of home and re-decking the existing screen porch,23000
MI292988,2025-06-03,14200 Council Cir,Single Family,Remodel/Alteration,MINNESOTA RUSCO,Demo existing. Install new shower system and wall surround.,13762
MI293022,2025-06-02,5877 Co Rd No 101,Single Family,Maintenance/Repair,Minnesota Roofing & Remodeling,"Re-roof for units 5875, 5873, 5871, along with detached garage.",7000
MI293023,2025-06-02,17520 Creek Ridge Pass,Single Family,Maintenance/Repair,Hoffman Weber Construction,Re-roof,14143
MI293028,2025-06-02,15712 Woodgate Rd N,Single Family,Maintenance/Repair,Alcaraz A To Z Construction Inc,30 squares including main dwelling and attached garage,8000
MI293030,2025-06-02,2909 Bay St,Single Family,Maintenance/Repair,Timberglade Holdins Llc,Tear off and re-roof with asphalt shingles,20500
MI293097,2025-06-02,2511 Bantas Point La,Single Family,Maintenance/Repair,Norbrook Construction,Remove and Replace roofing and all related accessories,10000
MI293099,2025-06-02,15102 Williston La,Single Family,Maintenance/Repair,Pella Northland,Replacing 2 windows- no changes to rough openings,4558
MI293101,2025-06-02,4925 Arlington Dr,Single Family,Maintenance/Repair,T & K Construction Services Inc,Tearoff reroof house and garage,15350
MI293102,2025-06-02,10500 Belmont Rd,Single Family,Maintenance/Repair,Grussing Roofing & Exteriors Inc,tear off and reroof,18306
MI293103,2025-06-02,16306 Pine St,Single Family,Maintenance/Repair,Grussing Roofing & Exteriors Inc,tear off and reroof,21706
MI292604,2025-06-02,10102 Belmont Rd,Single Family,Remodel/Alteration,KROGSTAD CONSTRUCTION INC,Kitchen remodel,50000
MI292896,2025-06-02,4142 Tonkawood Rd,Single Family,Remodel/Alteration,AFFORDABLE EGRESS WINDOWS & BASEMENT,egress window WATERPROOFING,4450
MI292513,2025-05-30,9731 Minnetonka Blvd Roof,Multi Family Apts/Condos,Maintenance/Repair,NORTH SHORE DEVELPMENT PARTNERSroof,repair,2500000
MI292978,2025-05-30,5400 Miracle La,Single Family,Maintenance/Repair,Tonka Roofing,Tear off existing shingles and install new asphalt shingles.,9450
MI292981,2025-05-30,5728 Oakview La,Single Family,Maintenance/Repair,Pure Co Roofing Llc,Tear off and re side,8010
MI292985,2025-05-30,3731 Dartmouth Dr,Single Family,Maintenance/Repair,Clear Cut Xterior Llc,"Re-roof, soffit and Fascia",50300
MI292990,2025-05-30,4158 Trail Ridge La,Single Family,Maintenance/Repair,Pella Northland,Replacing 1 window- no changes to rough opening,6939
MI292992,2025-05-30,4941 West La,Single Family,Maintenance/Repair,MSR CONSTRUCTION INC,replace siding of the house,10000
MI293000,2025-05-30,5541 Lakeland Rd,Single Family,Maintenance/Repair,Amrg Llc,complete tear off and reroof with asphalt shingles.,7500
MI293002,2025-05-30,15404 Robinwood Dr,Single Family,Maintenance/Repair,New Generation Remodeling Inc,Tear off reroof,6500
MI292788,2025-05-30,5888 Scenic Heights Dr,Single Family,Remodel/Alteration,SHEPS CONSTRUCTION INC,Install new windows and doors. Reside house and garage. Add dormer on front second floor. Screen in,157000
MI292722,2025-05-30,2516 Birchview La,Two Family Residence,Remodel/Alteration,Pavel Cherniak,remove old deck and replace with new bigger one,8500
MI291277,2025-05-29,12677 Wayzata Blvd 2360,Commercial/Ind,Tenant Finish,,"INTERIOR TENANT ALTERATION OF EXISTING SPACE - TO UPFIT NEW TENANT, INCLUDING ELEC/MECH/PLMB SCOPES",475000
MI292920,2025-05-29,5857 Co Rd No 101,Single Family,Maintenance/Repair,Minnesota Roofing & Remodeling,"Re-roof for units 5855, 5853, 5851, along with detached garage.",7000
MI292933,2025-05-29,11841 Pheasant La,Single Family,Maintenance/Repair,Amrg Llc,complete tear off and reroof with asphalt shingles and replace 1/12 section of rolled roofing.,8125
MI292936,2025-05-29,3275 Eldorado Tr E,Single Family,Maintenance/Repair,Home Depot Usa Inc,Remove and replace 2 entry door same size no structural change,10831
MI292955,2025-05-29,3444 Fairlawn Dr,Single Family,Maintenance/Repair,River Valley Remodelers,Home Re-Roof,22000
MI292961,2025-05-29,3425 The Mall,Single Family,Maintenance/Repair,SJS EXTERIORS INC,Replace roof,51000
MI292966,2025-05-29,14623 Orchard Rd,Single Family,Maintenance/Repair,Wenceslau Caetano De Freitas Neto,Roof replacement,11000
MI292356,2025-05-29,3024 Cedar Crossing,Single Family,Remodel/Alteration,PLATINUM REMODELING & HANDYMAN,Remodeling SFS LLC entire interior of home. 3 bedroom +2.5 baths.,345300
MI292552,2025-05-29,3001 Bay St,Single Family,Remodel/Alteration,EGRESS WINDOW GUY,Egress Windows & Well Installations,3330
MI292671,2025-05-29,1713 Pondview Ter,Single Family,Remodel/Alteration,GALZKI BROS CONSTRUCTION LLC,Finish roughed-in bathroom in basement.,12900
MI292796,2025-05-29,10206 Belmont Rd,Single Family,Remodel/Alteration,MINNESOTA RUSCO,"Demo existing. Install new shower system, and wall surround.",16309
MI292859,2025-05-29,5380 Waters Edge Dr,Single Family,Remodel/Alteration,GETTY CONSTRUCTION,Bathroom Remodel,55000
MI292951,2025-05-29,2021 Hopkins Crossroad,Single Family,Remodel/Alteration,WINGS CONSTRUCTION LLC,"OSB EXT WATERPROOF FOUNDATION, INTERIOR INSULATION, DRYWALL AND VAPOR BARRIER",15000
MI292787,2025-05-28,11000 Cedar Lake Rd,Commercial/Ind,Maintenance/Repair,LINDUS CONSTRUCTION,Remove & replace 1 entry door in same size opening,4000
MI292514,2025-05-28,10301 Cedar Lake Rd 117,Multi Family Apts/Condos,Remodel/Alteration,WINDOW CONCEPTS OF MN INC,"Replacing 2 showers, wall surround and fixtures",8982
MI292892,2025-05-28,13907 Spring Lake Rd,Single Family,Maintenance/Repair,True Blue Builders Inc,Tear off and re roof asphalt shingles,17000
MI292905,2025-05-28,12809 Ridgemount Ave W,Single Family,Maintenance/Repair,All Around Property Preservation,Replacing 5 windows in existing openings,17925
MI290094,2025-05-27,12673 Wayzata Blvd 2368,Commercial/Ind,Remodel/Alteration,MANAGEMENT RESOURCE SYSTEM,Tenant renovation and expansion of existing store,934000
MI292629,2025-05-27,12700 Sherwood Pl,Multi Family Apts/Condos,Maintenance/Repair,MINNESOTA EXTERIORS INC,Remove and replace 9 windows in existing openings (front common area),30778
MI292630,2025-05-27,12700 Sherwood Pl 109,Multi Family Apts/Condos,Maintenance/Repair,MINNESOTA EXTERIORS INC,Remove and replace 1 window in existing opening (guest bedroom),2535
MI292631,2025-05-27,12700 Sherwood Pl 208,Multi Family Apts/Condos,Maintenance/Repair,MINNESOTA EXTERIORS INC,Remove and replace 1 window in existing opening (master bedroom),1370
MI291129,2025-05-27,10211 Cedar Lake Rd 208,Multi Family Apts/Condos,Remodel/Alteration,Brian'c Caprentry Service,Kitchen and bathroom remodel,20000
MI292763,2025-05-27,11460 Fairfield Rd 103,Multi Family Apts/Condos,Remodel/Alteration,VENKA CONSTRUCTION LLC,"Remodel shower/ wet area, new shower valve, drain, new acrylic surround, adding none bearing wall",8000
MI290541,2025-05-27,5227 Kimberly Rd,Single Family,Addition,TIMBER CREEK CONSTRUCTION & RENOVATION,Adding a LLC third garage stall attached ti the north side of the attached garage,90000
MI292477,2025-05-27,4022 Merriam Rd,Single Family,Addition,ABELS CONCRETE AND CONSTRUCTIONRemove,"and replace existing front door steps.3,000",
